Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
1/6 KEG EMPTY TUCKER BREWING CO,,,,,,"['1/6', 'KEG', 'EMPTY', 'TUCKER', 'BREWING', 'CO']"
1/6 TIDELAND OTHER SIDE IPA,,,,,,"['1/6', 'TIDELAND', 'OTHER', 'SIDE', 'IPA']"
1/6 TIDELAND UP ALL KNIGHT COFFEE PORTER,,,,,,"['1/6', 'TIDELAND', 'UP', 'ALL', 'KNIGHT', 'COFFEE', 'PORTER']"
1/6BBL  From The Heart IPA,,,,,,"['1/6BBL', 'From', 'The', 'Heart', 'IPA']"
1/6BBL Winter Sunset,,,,,,"['1/6BBL', 'Winter', 'Sunset']"
1/6BR  TAILGATE CIDER,,,,,,"['1/6BR', 'TAILGATE', 'CIDER']"
1/6BR  TAILGATE ORG WHEAT,,,,,,"['1/6BR', 'TAILGATE', 'ORG', 'WHEAT']"
1/6BR  TAILGATE PB MILK STOUT,,,,,,"['1/6BR', 'TAILGATE', 'PB', 'MILK', 'STOUT']"
10 Year Single Malt,,,,,,"['10', 'Year', 'Single', 'Malt']"
10 yr,,,,,,"['10', 'yr']"
10TH MOUNTAIN RYE,,,,,,"['10TH', 'MOUNTAIN', 'RYE']"
11OZ   WATKINS AROMATIC BITTERS,,,,,,"['11OZ', 'WATKINS', 'AROMATIC', 'BITTERS']"
12 Yr,,,,,,"['12', 'Yr']"
12/750 BOUSQUET PINOT GRIGIO,BOUSQUET,750ML,12,,PINOT GRIGIO,"['12/750', 'BOUSQUET', 'PINOT', 'GRIGIO']"
12/750 COASTAL CHARDO 12 PK,COASTAL,750ML,12,,CHARDONNAY,"['12/750', 'COASTAL', 'CHARDO', '12', 'PK']"
12/750 MADONNA POPPY 2018 12PK,MADONNA POPPY,75OML,12,,,"['12/750', 'MADONNA', 'POPPY', '2018', '12PK']"
12/750 MADONNA POPPY 2019 12PK,,,,,,"['12/750', 'MADONNA', 'POPPY', '2019', '12PK']"
12/750 MARIETT MERLOT 2018 12PK,MARIETTE,750ML,12,,MERLOT,"['12/750', 'MARIETT', 'MERLOT', '2018', '12PK']"
12/750 VIN FERN SAUVI 2020 12PK,VIN FERN,750ML,12,,SAUVIGNON,"['12/750', 'VIN', 'FERN', 'SAUVI', '2020', '12PK']"
12/750 VINE LEAF  CAB SAUV      NV,VIN LEAF,750ML,12,,CAB SAUVIGNON,"['12/750', 'VINE', 'LEAF', 'CAB', 'SAUV', 'NV']"
12/750 VINE LEAF CHARD          NV,VINE LEAF,750ML,12,,CHARDONNAY,"['12/750', 'VINE', 'LEAF', 'CHARD', 'NV']"
12/750 VINE LEAF MERLOT         NV,VINE LEAF,750ML,12,,MERLOT,"['12/750', 'VINE', 'LEAF', 'MERLOT', 'NV']"
