Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
CH SOUV N COAST MERLOT NL,,,,,,"['CH', 'SOUV', 'N', 'COAST', 'MERLOT', 'NL']"
CH SOUVERAIN P GRIGIO CALIF 19 750ML,,,,,,"['CH', 'SOUVERAIN', 'P', 'GRIGIO', 'CALIF', '19', '750ML']"
Ch. Lalande Saint Julien Cabernet/Merlot GCWC,,,,,,"['Ch.', 'Lalande', 'Saint', 'Julien', 'Cabernet/Merlot', 'GCWC']"
Ch. Lalande St. Julien Cabernet/Merlot Six-Pack GCWC,,,,,,"['Ch.', 'Lalande', 'St.', 'Julien', 'Cabernet/Merlot', 'Six-Pack', 'GCWC']"
Chalk Hill Chardonnay,,,,,,"['Chalk', 'Hill', 'Chardonnay']"
cham,,,,,,['cham']
Champagne Drappier Carte D Or Brut,,,,,,"['Champagne', 'Drappier', 'Carte', 'D', 'Or', 'Brut']"
CHAP BELLERUCHE ROSE NUPC 750M,,,,,,"['CHAP', 'BELLERUCHE', 'ROSE', 'NUPC', '750M']"
CHAPOUTIER BELLERUCHE COTES DU RHONE ROSE VT  750ML,,,,,,"['CHAPOUTIER', 'BELLERUCHE', 'COTES', 'DU', 'RHONE', 'ROSE', 'VT', '750ML']"
CHAPOUTIER CDR BELLERUCHE ROSE 750ML,,,,,,"['CHAPOUTIER', 'CDR', 'BELLERUCHE', 'ROSE', '750ML']"
Chappellet Mount Cuvee,,,,,,"['Chappellet', 'Mount', 'Cuvee']"
CHARD 2019 750ML,,,,,,"['CHARD', '2019', '750ML']"
CHARLES SMITH BOOM BOOM SYRAH(SC18 750.000 ML,,,,,,"['CHARLES', 'SMITH', 'BOOM', 'BOOM', 'SYRAH(SC18', '750.000', 'ML']"
Charles Smith Kung Fu Girl Riesling,,,,,,"['Charles', 'Smith', 'Kung', 'Fu', 'Girl', 'Riesling']"
CHARLES SMITH KUNGFU GIRL RIES 20 750ML,,,,,,"['CHARLES', 'SMITH', 'KUNGFU', 'GIRL', 'RIES', '20', '750ML']"
CHARLES SMITH VELV DEVIL MER(SC)19 750ML,,,,,,"['CHARLES', 'SMITH', 'VELV', 'DEVIL', 'MER(SC)19', '750ML']"
Charles Town Fermentory:(1) CF_1/2 bbl_Flying Blind IPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Flying', 'Blind', 'IPA']"
Charles Town Fermentory:(1) CF_1/2 bbl_Garden Party DIPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Garden', 'Party', 'DIPA']"
Charles Town Fermentory:(1) CF_1/2 bbl_Life Waves Session IPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Life', 'Waves', 'Session', 'IPA']"
Charles Town Fermentory:(1) CF_1/2 bbl_Mudlark - NITRO,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Mudlark', '-', 'NITRO']"
Charles Town Fermentory:(1) CF_1/2 bbl_Profunda Mex Lager,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Profunda', 'Mex', 'Lager']"
Charles Town Fermentory:(1) CF_1/2 bbl_Ralf,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Ralf']"
Charles Town Fermentory:(1) CF_1/2 bbl_Sacred Geometries Lager,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Sacred', 'Geometries', 'Lager']"
Charles Town Fermentory:(1) CF_1/2 bbl_Telstar XV,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Telstar', 'XV']"
Charles Town Fermentory:(1) CF_1/2 bbl_Telstar XX,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/2', 'bbl_Telstar', 'XX']"
Charles Town Fermentory:(1) CF_1/6 bbl_Claudia German IPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Claudia', 'German', 'IPA']"
Charles Town Fermentory:(1) CF_1/6 bbl_DDH Extra Sunny DIPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_DDH', 'Extra', 'Sunny', 'DIPA']"
Charles Town Fermentory:(1) CF_1/6 bbl_Extra Hellos Pilsner,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Extra', 'Hellos', 'Pilsner']"
Charles Town Fermentory:(1) CF_1/6 bbl_Festbier,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Festbier']"
Charles Town Fermentory:(1) CF_1/6 bbl_Jream Mixers Bumbleberry,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Jream', 'Mixers', 'Bumbleberry']"
Charles Town Fermentory:(1) CF_1/6 bbl_Life Waves Session IPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Life', 'Waves', 'Session', 'IPA']"
Charles Town Fermentory:(1) CF_1/6 bbl_Light Show Golden Ale,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Light', 'Show', 'Golden', 'Ale']"
Charles Town Fermentory:(1) CF_1/6 bbl_Pelican Splash IPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Pelican', 'Splash', 'IPA']"
Charles Town Fermentory:(1) CF_1/6 bbl_Profunda Mex Lager,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Profunda', 'Mex', 'Lager']"
Charles Town Fermentory:(1) CF_1/6 bbl_Sungazer,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Sungazer']"
Charles Town Fermentory:(1) CF_1/6 bbl_Technicolor Phantom IPA,,,,,,"['Charles', 'Town', 'Fermentory:(1)', 'CF_1/6', 'bbl_Technicolor', 'Phantom', 'IPA']"
CHARLES WELLS BANANA BREAD 30L,,,,,,"['CHARLES', 'WELLS', 'BANANA', 'BREAD', '30L']"
chartreuse,,,,,,['chartreuse']
Chartreuse Green,,,,,,"['Chartreuse', 'Green']"
CHARTREUSE GREEN CORDIAL,,,,,,"['CHARTREUSE', 'GREEN', 'CORDIAL']"
Chartreuse Yellow,,,,,,"['Chartreuse', 'Yellow']"
Chase & Elderflower Liqueur 6/750ml,,,,,,"['Chase', '&', 'Elderflower', 'Liqueur', '6/750ml']"
Chateau Blaignan Bourgeois Medoc,,,,,,"['Chateau', 'Blaignan', 'Bourgeois', 'Medoc']"
Chateau La Freynelle Blanc,,,,,,"['Chateau', 'La', 'Freynelle', 'Blanc']"
Chateau Lafite Rothschild Bordeaux Rouge Reserve,,,,,,"['Chateau', 'Lafite', 'Rothschild', 'Bordeaux', 'Rouge', 'Reserve']"
Chateau Minuty M De Minuty Cotes De Provence Rose 2021 12/750ml,,,,,,"['Chateau', 'Minuty', 'M', 'De', 'Minuty', 'Cotes', 'De', 'Provence', 'Rose', '2021', '12/750ml']"
CHATEAU SOUVERAIN MERLOT,,,,,,"['CHATEAU', 'SOUVERAIN', 'MERLOT']"
Chateau St Andre Corbin,,,,,,"['Chateau', 'St', 'Andre', 'Corbin']"
Chateau St Jean Chardonnay Sonoma,,,,,,"['Chateau', 'St', 'Jean', 'Chardonnay', 'Sonoma']"
Chateau St Jean Merlot California,,,,,,"['Chateau', 'St', 'Jean', 'Merlot', 'California']"
CHEBOYGAN BLOOD ORANGE HONEY 1/2 BBL,,,,,,"['CHEBOYGAN', 'BLOOD', 'ORANGE', 'HONEY', '1/2', 'BBL']"
CHEBOYGAN BLOOD ORANGE HONEY 1/6 BBL,,,,,,"['CHEBOYGAN', 'BLOOD', 'ORANGE', 'HONEY', '1/6', 'BBL']"
CHEETAH - LAGER 1/2 BBL KEG,,,,,,"['CHEETAH', '-', 'LAGER', '1/2', 'BBL', 'KEG']"
Cherry Tart by Cherry Pie Pinot Noir,,,,,,"['Cherry', 'Tart', 'by', 'Cherry', 'Pie', 'Pinot', 'Noir']"
Chic Barcelona Brut,,,,,,"['Chic', 'Barcelona', 'Brut']"
CHILA ORCHATA CINN CRM RUM,,,,,,"['CHILA', 'ORCHATA', 'CINN', 'CRM', 'RUM']"
Chila Orchata Cinnamon Cream Rum Liqueur,,,,,,"['Chila', 'Orchata', 'Cinnamon', 'Cream', 'Rum', 'Liqueur']"
Chivas ,,,,,,['Chivas']
CHOPIN,CHOPIN,,,VODKA,,['CHOPIN']
CHOPIN POTATO 750ML,CHOPIN,750ML,,VODKA,,"['CHOPIN', 'POTATO', '750ML']"
Chopin Potato Vodka 6/1L New Package,CHOPIN,,,VODKA,,"['Chopin', 'Potato', 'Vodka', '6/1L', 'New', 'Package']"
CHOPIN POTATO VODKA NL 6PK,CHOPIN,,6,VODKA,,"['CHOPIN', 'POTATO', 'VODKA', 'NL', '6PK']"
Chopin Rye Vodka 6/1L,CHOPIN,1L,6,VODKA,,"['Chopin', 'Rye', 'Vodka', '6/1L']"
CHOPIN VOD POTATO BLACK 80 1L,CHOPIN,1L,,VODKA,,"['CHOPIN', 'VOD', 'POTATO', 'BLACK', '80', '1L']"
Chopin Vodka,CHOPIN,,,VODKA,,"['Chopin', 'Vodka']"
CHOPIN VODKA 80 1.0L,CHOPIN,1L,,VODKA,,"['CHOPIN', 'VODKA', '80', '1.0L']"
Chopin Wheat Vodka,CHOPIN,,,VODKA,,"['Chopin', 'Wheat', 'Vodka']"
Chopin Wheat Vodka 6/1L,CHOPIN,1L,6,VODKA,,"['Chopin', 'Wheat', 'Vodka', '6/1L']"
CHOYA UMESHU,,,,,,"['CHOYA', 'UMESHU']"
Christian Brothers Brandy Amber,,,,,,"['Christian', 'Brothers', 'Brandy', 'Amber']"
Christian Brothers Brandy Amber Round,,,,,,"['Christian', 'Brothers', 'Brandy', 'Amber', 'Round']"
Christian Brothers Sherry Dry,,,,,,"['Christian', 'Brothers', 'Sherry', 'Dry']"
CHRONOLOGY RED BLEND,,,,,,"['CHRONOLOGY', 'RED', 'BLEND']"
CHT D'ESCLANS ROSE ROCK ANGEL 21 750ML,,,,,,"['CHT', ""D'ESCLANS"", 'ROSE', 'ROCK', 'ANGEL', '21', '750ML']"
CHT D'ESCLANS WHISP ANGEL ROSE 20 375.000 ML,,,,,,"['CHT', ""D'ESCLANS"", 'WHISP', 'ANGEL', 'ROSE', '20', '375.000', 'ML']"
CHT D'ESCLANS WHISP ANGEL ROSE 20 375ML,,,,,,"['CHT', ""D'ESCLANS"", 'WHISP', 'ANGEL', 'ROSE', '20', '375ML']"
CHT D'ESCLANS WHISP ANGEL ROSE 21 375.000 ML,,,,,,"['CHT', ""D'ESCLANS"", 'WHISP', 'ANGEL', 'ROSE', '21', '375.000', 'ML']"
CHT D'ESCLANS WHISP ANGEL ROSE 21 375ML,,,,,,"['CHT', ""D'ESCLANS"", 'WHISP', 'ANGEL', 'ROSE', '21', '375ML']"
CHUCKTOWN LOBSTUH HAZY 20LT,,,,,,"['CHUCKTOWN', 'LOBSTUH', 'HAZY', '20LT']"
CICLOPS MADUSSA PALE 1/6BBL,,,,,,"['CICLOPS', 'MADUSSA', 'PALE', '1/6BBL']"
Ciderboys Seasonal,,,,,,"['Ciderboys', 'Seasonal']"
Cigar City Jai Alai IPA,,,,,,"['Cigar', 'City', 'Jai', 'Alai', 'IPA']"
Cigar City Jai Alai IPA 1/2 BBL,,,,,,"['Cigar', 'City', 'Jai', 'Alai', 'IPA', '1/2', 'BBL']"
CINCORO ANEJO,,,,,,"['CINCORO', 'ANEJO']"
CINCORO REPOSADO TEQUILA,,,,,,"['CINCORO', 'REPOSADO', 'TEQUILA']"
CITRONGE ORANGE LIQ 70 1L,,,,,,"['CITRONGE', 'ORANGE', 'LIQ', '70', '1L']"
CITRONGE PINEAPPLE LIQUEUR  LT,,,,,,"['CITRONGE', 'PINEAPPLE', 'LIQUEUR', 'LT']"
CLASE AZUL MEZCAL JOV DURANGO 88 750ML,,,,,,"['CLASE', 'AZUL', 'MEZCAL', 'JOV', 'DURANGO', '88', '750ML']"
CLASE AZUL PLATA 750ML,,,,,,"['CLASE', 'AZUL', 'PLATA', '750ML']"
Clase Azul Plata Tequila,,,,,,"['Clase', 'Azul', 'Plata', 'Tequila']"
CLASE AZUL REPOSADO,,,,,,"['CLASE', 'AZUL', 'REPOSADO']"
CLASE AZUL REPOSADO 750ML,,,,,,"['CLASE', 'AZUL', 'REPOSADO', '750ML']"
Clase Azul Reposado Tequila,,,,,,"['Clase', 'Azul', 'Reposado', 'Tequila']"
CLASE AZUL TEQ GOLD 80 750ML,,,,,,"['CLASE', 'AZUL', 'TEQ', 'GOLD', '80', '750ML']"
CLASE AZUL TEQ REPOSADO 80 750ML,,,,,,"['CLASE', 'AZUL', 'TEQ', 'REPOSADO', '80', '750ML']"
Clean Slate Riesling,,,,,,"['Clean', 'Slate', 'Riesling']"
CLICQUOT RICH ROSE 750ML,,,,,,"['CLICQUOT', 'RICH', 'ROSE', '750ML']"
Clicquot Rose Cuvee Reserve,,,,,,"['Clicquot', 'Rose', 'Cuvee', 'Reserve']"
CLINE 7 RANCHLANDS MERLOT,,,,,,"['CLINE', '7', 'RANCHLANDS', 'MERLOT']"
Clock Out Peanut Butter Stout 1/6,,,,,,"['Clock', 'Out', 'Peanut', 'Butter', 'Stout', '1/6']"
Clone 7 Columbia Valley Chardonnay 12/750ml,,,,,,"['Clone', '7', 'Columbia', 'Valley', 'Chardonnay', '12/750ml']"
Clone 7 Columbia Valley Sauvignon Blanc 12/750ml,,,,,,"['Clone', '7', 'Columbia', 'Valley', 'Sauvignon', 'Blanc', '12/750ml']"
CLOS PEGASE CHA,,,,,,"['CLOS', 'PEGASE', 'CHA']"
CLOS PEGASE CHARDONNAY MITSUKO20 750ML,,,,,,"['CLOS', 'PEGASE', 'CHARDONNAY', 'MITSUKO20', '750ML']"
Clos Pegase Chardonnay Mitsukos Vineyard,,,,,,"['Clos', 'Pegase', 'Chardonnay', 'Mitsukos', 'Vineyard']"
Cloud 9 Imperial IPA Can Case (24-16oz cans),,,,,,"['Cloud', '9', 'Imperial', 'IPA', 'Can', 'Case', '(24-16oz', 'cans)']"
CLOUD HARVEST - HAZY IPA - 6 PACK CANS,,,,,,"['CLOUD', 'HARVEST', '-', 'HAZY', 'IPA', '-', '6', 'PACK', 'CANS']"
CLOUD HARVEST - HAZY IPA 1/2 BBL KEG,,,,,,"['CLOUD', 'HARVEST', '-', 'HAZY', 'IPA', '1/2', 'BBL', 'KEG']"
CLOUD HARVEST 07 - UNFILTERED JUICY IPA - 6 PACK CANS,,,,,,"['CLOUD', 'HARVEST', '07', '-', 'UNFILTERED', 'JUICY', 'IPA', '-', '6', 'PACK', 'CANS']"
CLOUD HARVEST 08 - UNFILTERED JUICY IPA - 6 PACK CANS,,,,,,"['CLOUD', 'HARVEST', '08', '-', 'UNFILTERED', 'JUICY', 'IPA', '-', '6', 'PACK', 'CANS']"
CLUB CARIBE RUM COCO 55 1L,,,,,,"['CLUB', 'CARIBE', 'RUM', 'COCO', '55', '1L']"
CLYDE MAYS STRAIGHT BBN WHSKY 6PK,,,,,,"['CLYDE', 'MAYS', 'STRAIGHT', 'BBN', 'WHSKY', '6PK']"
COAST ALTERIOR MOTIVE ALTBIER 15.5,,,,,,"['COAST', 'ALTERIOR', 'MOTIVE', 'ALTBIER', '15.5']"
COAST CAPTAIN STINGRAY MILKSTOUT 5.17,,,,,,"['COAST', 'CAPTAIN', 'STINGRAY', 'MILKSTOUT', '5.17']"
COAST PILSNER 5.17_2,,,,,,"['COAST', 'PILSNER', '5.17_2']"
COASTAL RIDGE CAB,,,,,,"['COASTAL', 'RIDGE', 'CAB']"
COASTAL RIDGE CHARD,,,,,,"['COASTAL', 'RIDGE', 'CHARD']"
COASTAL RIDGE P GRIGIO,,,,,,"['COASTAL', 'RIDGE', 'P', 'GRIGIO']"
COASTAL VINES CAB,,,,,,"['COASTAL', 'VINES', 'CAB']"
Coastal Vines Cabernet [ONP],,,,,,"['Coastal', 'Vines', 'Cabernet', '[ONP]']"
COASTAL VINES CHARD,,,,,,"['COASTAL', 'VINES', 'CHARD']"
Coastal Vines Chardonnay [ONP],,,,,,"['Coastal', 'Vines', 'Chardonnay', '[ONP]']"
COASTAL VINES MERLOT,,,,,,"['COASTAL', 'VINES', 'MERLOT']"
Coastal Vines Merlot [ONP],,,,,,"['Coastal', 'Vines', 'Merlot', '[ONP]']"
COASTAL VINES P GRIGIO,,,,,,"['COASTAL', 'VINES', 'P', 'GRIGIO']"
Coastal Vines Pinot Grigio [ONP],,,,,,"['Coastal', 'Vines', 'Pinot', 'Grigio', '[ONP]']"
Coastal Vines Pinot Noir [ONP],,,,,,"['Coastal', 'Vines', 'Pinot', 'Noir', '[ONP]']"
Coastal Vines Sauvignon Blanc [ONP],,,,,,"['Coastal', 'Vines', 'Sauvignon', 'Blanc', '[ONP]']"
COASTER - RHINEGEIST FURY STRIPE,,,,,,"['COASTER', '-', 'RHINEGEIST', 'FURY', 'STRIPE']"
Cocchi Americano,,,,,,"['Cocchi', 'Americano']"
COCCHI BAROLO CHINATO 500.000 ML,,,,,,"['COCCHI', 'BAROLO', 'CHINATO', '500.000', 'ML']"
Cocchi Cocchi Americano Bianco 16.5%,,,,,,"['Cocchi', 'Cocchi', 'Americano', 'Bianco', '16.5%']"
Cocchi Cocchi Rosa Americano 16.5%,,,,,,"['Cocchi', 'Cocchi', 'Rosa', 'Americano', '16.5%']"
Cocchi Cocchi Vermouth Di Torino 16%,,,,,,"['Cocchi', 'Cocchi', 'Vermouth', 'Di', 'Torino', '16%']"
Cocchi Vermouth di Torino,,,,,,"['Cocchi', 'Vermouth', 'di', 'Torino']"
Cock N Bull Ginger Beer,,,,,,"['Cock', 'N', 'Bull', 'Ginger', 'Beer']"
COCO LIME 6/4 PK CANCASE ONLY,,,,,,"['COCO', 'LIME', '6/4', 'PK', 'CANCASE', 'ONLY']"
COCO PINEAP 6/4 CN  CASE ONLY,,,,,,"['COCO', 'PINEAP', '6/4', 'CN', 'CASE', 'ONLY']"
COCO PINEAP 6/4 CN  CASES ONLY,,,,,,"['COCO', 'PINEAP', '6/4', 'CN', 'CASES', 'ONLY']"
Coco Real Cream of Coconut,,,,,,"['Coco', 'Real', 'Cream', 'of', 'Coconut']"
COCO RUM 6/4 CAN    CASE ONLY,,,,,,"['COCO', 'RUM', '6/4', 'CAN', 'CASE', 'ONLY']"
COCO VODKA 6/4 CAN  CASE ONLY,,,,,,"['COCO', 'VODKA', '6/4', 'CAN', 'CASE', 'ONLY']"
COCONUT CAROLINA RUM,,,,,,"['COCONUT', 'CAROLINA', 'RUM']"
COCONUT CARTEL RUM SP 6B 750ML,,,,,,"['COCONUT', 'CARTEL', 'RUM', 'SP', '6B', '750ML']"
COCONUT PUREE,,,,,,"['COCONUT', 'PUREE']"
Codigo 1530 Tequila Blanco,,,,,,"['Codigo', '1530', 'Tequila', 'Blanco']"
Codigo 1530 Tequila Reposado,,,,,,"['Codigo', '1530', 'Tequila', 'Reposado']"
Codigo 1530 Tequila Rosa,,,,,,"['Codigo', '1530', 'Tequila', 'Rosa']"
Col Dorato Extra Dry Prosecco,,,,,,"['Col', 'Dorato', 'Extra', 'Dry', 'Prosecco']"
Cold Beer Here American Lager 24x12oz - Suggested Retail Price: $10.99,,,,,,"['Cold', 'Beer', 'Here', 'American', 'Lager', '24x12oz', '-', 'Suggested', 'Retail', 'Price:', '$10.99']"
COLD DISTILLED CUCUMBER VODKA,,,,,,"['COLD', 'DISTILLED', 'CUCUMBER', 'VODKA']"
COLLISION DFT 1/2 8 CRZY NHT,,,,,,"['COLLISION', 'DFT', '1/2', '8', 'CRZY', 'NHT']"
COLLISION DFT 1/2 LE SUNSET,,,,,,"['COLLISION', 'DFT', '1/2', 'LE', 'SUNSET']"
COLLISION DFT 1/6 LE SUNSET,,,,,,"['COLLISION', 'DFT', '1/6', 'LE', 'SUNSET']"
COLONIAL CLUB PEACH BRANDY 42 750.000 ML,,,,,,"['COLONIAL', 'CLUB', 'PEACH', 'BRANDY', '42', '750.000', 'ML']"
COLONIAL CLUB PEACH SCHNAPPS 42 750.000 ML,,,,,,"['COLONIAL', 'CLUB', 'PEACH', 'SCHNAPPS', '42', '750.000', 'ML']"
COLONIAL CLUB TRIPLE SEC 30 750.000 ML,,,,,,"['COLONIAL', 'CLUB', 'TRIPLE', 'SEC', '30', '750.000', 'ML']"
COLORADO NATIVE AMBER LAGER 1/6 BBL,,,,,,"['COLORADO', 'NATIVE', 'AMBER', 'LAGER', '1/6', 'BBL']"
COLUMBIA CRAFT CAROLINIAN BLONDE ALE 1/6 BBL,,,,,,"['COLUMBIA', 'CRAFT', 'CAROLINIAN', 'BLONDE', 'ALE', '1/6', 'BBL']"
Columbus IPA,,,,,,"['Columbus', 'IPA']"
Columbus IPA 1/2 BBL,,,,,,"['Columbus', 'IPA', '1/2', 'BBL']"
COMBIER CR DE CASSIS LIQUEUR- FRANCE 40 PR.,,,,,,"['COMBIER', 'CR', 'DE', 'CASSIS', 'LIQUEUR-', 'FRANCE', '40', 'PR.']"
Combier Liqueur Pamplemousse,,,,,,"['Combier', 'Liqueur', 'Pamplemousse']"
COMBIER MURE LIQUEUR- FRANCE 40 PR.,,,,,,"['COMBIER', 'MURE', 'LIQUEUR-', 'FRANCE', '40', 'PR.']"
COMBO 1B/D12YR DIPLORSV MONTEN LOFI GENT,,,,,,"['COMBO', '1B/D12YR', 'DIPLORSV', 'MONTEN', 'LOFI', 'GENT']"
COMBO ARETTE ANEJO ARTESANAL 2BTLS,,,,,,"['COMBO', 'ARETTE', 'ANEJO', 'ARTESANAL', '2BTLS']"
COMBO ARETTE BLANCO ARTESANAL 2BTLS,,,,,,"['COMBO', 'ARETTE', 'BLANCO', 'ARTESANAL', '2BTLS']"
COMBO BARR HILL GIN 1CS+3EA HONEY+1CS BG,,,,,,"['COMBO', 'BARR', 'HILL', 'GIN', '1CS+3EA', 'HONEY+1CS', 'BG']"
COMBO BARR HILL TOM C 1CS+3EA HNY+1CS BG,,,,,,"['COMBO', 'BARR', 'HILL', 'TOM', 'C', '1CS+3EA', 'HNY+1CS', 'BG']"
COMBO BARR HILL VODKA 1CS + 3 JARS HONEY,,,,,,"['COMBO', 'BARR', 'HILL', 'VODKA', '1CS', '+', '3', 'JARS', 'HONEY']"
COMBO DASHFIRE CLASSIC CREOLE BITTER 1BT,,,,,,"['COMBO', 'DASHFIRE', 'CLASSIC', 'CREOLE', 'BITTER', '1BT']"
COMBO DON FULANO 3B/1-ANEJO BLANCO REPOS,,,,,,"['COMBO', 'DON', 'FULANO', '3B/1-ANEJO', 'BLANCO', 'REPOS']"
COMBO DON FULANO IMPERIAL 1 BOTTLE,,,,,,"['COMBO', 'DON', 'FULANO', 'IMPERIAL', '1', 'BOTTLE']"
COMBO ENROUTE LES POMMIERS 6 BTLS,,,,,,"['COMBO', 'ENROUTE', 'LES', 'POMMIERS', '6', 'BTLS']"
COMBO FOSFORO MEZCAL TOBALA 1BTL,,,,,,"['COMBO', 'FOSFORO', 'MEZCAL', 'TOBALA', '1BTL']"
COMBO G4 TEQUILA BLANCO 2 BTL,,,,,,"['COMBO', 'G4', 'TEQUILA', 'BLANCO', '2', 'BTL']"
COMBO G4 TEQUILA REPOSADO 2 BTL,,,,,,"['COMBO', 'G4', 'TEQUILA', 'REPOSADO', '2', 'BTL']"
COMBO HORSE SOLDIER STRAIGHT 2BTL OP,,,,,,"['COMBO', 'HORSE', 'SOLDIER', 'STRAIGHT', '2BTL', 'OP']"
COMBO LO-FI APERITIFS DRY VERMOUTH 2BTLS,,,,,,"['COMBO', 'LO-FI', 'APERITIFS', 'DRY', 'VERMOUTH', '2BTLS']"
COMBO MICHTER'S US*1 SNGL BAR. RYE 3BTLS,,,,,,"['COMBO', ""MICHTER'S"", 'US*1', 'SNGL', 'BAR.', 'RYE', '3BTLS']"
COMBO MIJENTA TEQUILA BLANCO 2 BOTTLE,,,,,,"['COMBO', 'MIJENTA', 'TEQUILA', 'BLANCO', '2', 'BOTTLE']"
COMBO MIJENTA TEQUILA BLANCO 3 BOTTLE,,,,,,"['COMBO', 'MIJENTA', 'TEQUILA', 'BLANCO', '3', 'BOTTLE']"
COMBO MIJENTA TEQUILA REPOSADO 2 BOTTLE,,,,,,"['COMBO', 'MIJENTA', 'TEQUILA', 'REPOSADO', '2', 'BOTTLE']"
COMBO PELOTON DE LA MUERTE MEZCAL 2BTL,,,,,,"['COMBO', 'PELOTON', 'DE', 'LA', 'MUERTE', 'MEZCAL', '2BTL']"
COMBO PETER VELLA BURGUNDY 2CS FOR 1CS,,,,,,"['COMBO', 'PETER', 'VELLA', 'BURGUNDY', '2CS', 'FOR', '1CS']"
COMBO PETER VELLA CHABIS 2CS FOR 1CS,,,,,,"['COMBO', 'PETER', 'VELLA', 'CHABIS', '2CS', 'FOR', '1CS']"
COMBO REDWOOD EMPIRE 2EA LOST+EMER+PIPE,,,,,,"['COMBO', 'REDWOOD', 'EMPIRE', '2EA', 'LOST+EMER+PIPE']"
COMBO REDWOOD EMPIRE PIPE DREAM 2B,,,,,,"['COMBO', 'REDWOOD', 'EMPIRE', 'PIPE', 'DREAM', '2B']"
COMMONHOUSE AIR IS SALTY 1/6 BBL,,,,,,"['COMMONHOUSE', 'AIR', 'IS', 'SALTY', '1/6', 'BBL']"
COMMONHOUSE PARK CIRCLE PALE ALE 1/2 BBL,,,,,,"['COMMONHOUSE', 'PARK', 'CIRCLE', 'PALE', 'ALE', '1/2', 'BBL']"
COMMONHOUSE PARK CIRCLE PALE ALE 1/6 BBL,,,,,,"['COMMONHOUSE', 'PARK', 'CIRCLE', 'PALE', 'ALE', '1/6', 'BBL']"
COMMONHOUSE RED FOX IRISH ALE 1/6 BBL,,,,,,"['COMMONHOUSE', 'RED', 'FOX', 'IRISH', 'ALE', '1/6', 'BBL']"
Commonwealth:(1) CMW_1/6 bbl_BA Golden Stag,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_BA', 'Golden', 'Stag']"
Commonwealth:(1) CMW_1/6 bbl_Cat Daddy,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Cat', 'Daddy']"
Commonwealth:(1) CMW_1/6 bbl_Gang Gang Martha,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Gang', 'Gang', 'Martha']"
Commonwealth:(1) CMW_1/6 bbl_Izanagi,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Izanagi']"
Commonwealth:(1) CMW_1/6 bbl_Marshmallow Eyes,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Marshmallow', 'Eyes']"
Commonwealth:(1) CMW_1/6 bbl_Orange Blossom Fizz,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Orange', 'Blossom', 'Fizz']"
Commonwealth:(1) CMW_1/6 bbl_Papi Chulo IPA,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Papi', 'Chulo', 'IPA']"
Commonwealth:(1) CMW_1/6 bbl_Pink Fluffy Unicorns,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Pink', 'Fluffy', 'Unicorns']"
Commonwealth:(1) CMW_1/6 bbl_Syndicate DIPA,,,,,,"['Commonwealth:(1)', 'CMW_1/6', 'bbl_Syndicate', 'DIPA']"
Commonwealth:(1) CMW_1/6 bbl_Teahupo'o Seltzer,,,,,,"['Commonwealth:(1)', 'CMW_1/6', ""bbl_Teahupo'o"", 'Seltzer']"
